"","year_month","year","month","mean_depth","max_depth","min_depth"
"1",2017-06-01 01:00:00,2017,6,3.61444414951182,5.12776297217108,2.11411518799126
"2",2017-07-01 01:00:00,2017,7,3.60916701842422,5.12776297217108,2.11411518799126
"3",2017-08-01 01:00:00,2017,8,3.60916701842422,5.12776297217108,2.11411518799126
"4",2017-09-01 01:00:00,2017,9,3.5980091512885,5.12776297217108,2.11411518799126
"5",2017-10-01 01:00:00,2017,10,3.60681260609283,5.12776297217108,2.01993869473564
"6",2017-11-01 00:00:00,2017,11,3.60388988733662,5.12776297217108,2.01993869473564
"7",2017-12-01 00:00:00,2017,12,3.60445819376144,5.12776297217108,2.01993869473564
"8",2018-01-01 00:00:00,2018,1,3.61230623486607,5.2219394654267,2.01993869473564
"9",2018-02-01 00:00:00,2018,2,3.60785901157344,5.2219394654267,2.01993869473564
"10",2018-03-01 00:00:00,2018,3,3.60445819376144,5.2219394654267,2.01993869473564
"11",2018-04-01 01:00:00,2018,4,3.60632548630012,5.12776297217108,2.11411518799126
"12",2018-05-01 01:00:00,2018,5,3.61544545130792,5.03358647891546,2.11411518799126
"13",2018-06-01 01:00:00,2018,6,3.61282041686948,5.12776297217108,2.11411518799126
"14",2018-07-01 01:00:00,2018,7,3.60602780198236,5.2219394654267,2.01993869473564
"15",2018-08-01 01:00:00,2018,8,3.61065089174232,5.2219394654267,1.92576220148002
"16",2018-09-01 01:00:00,2018,9,3.60632548630012,5.2219394654267,1.92576220148002
"17",2018-10-01 01:00:00,2018,10,3.60210378143005,5.12776297217108,2.01993869473564
"18",2018-11-01 00:00:00,2018,11,3.6095729515848,5.03358647891546,2.20829168124688
"19",2018-12-01 00:00:00,2018,12,3.61230623486607,5.12776297217108,2.11411518799126
"20",2019-01-01 00:00:00,2019,1,3.60352829981542,5.2219394654267,2.01993869473564
"21",2019-02-01 00:00:00,2019,2,3.6148910484042,5.31611595868232,1.92576220148002
"22",2019-03-01 00:00:00,2019,3,3.59798850609451,5.31611595868232,1.92576220148002
"23",2019-04-01 01:00:00,2019,4,3.60145428837311,5.12776297217108,2.01993869473564
"24",2019-05-01 01:00:00,2019,5,3.60759741020329,4.93940998565984,2.20829168124688
"25",2019-06-01 01:00:00,2019,6,3.61282041686948,4.93940998565984,2.3024681745025
